|Net ID|Course|Film title|Transcoded File Name|Call Num|Order to Process|na|Status of Request|Date needed|Main Feature Language|Subtitles|Library|Prior use|(N/A)|Notes|Request or Decline|Which Course Management System are you using?|Please specify the subtitle language||
8/17/2012 15:40:44|sohmer|FTT 40501|The War Room|D09464_The_War_Room.mov||5|5|Completed|10/26/2012|English|No|Yes|No||DVD 09464  The Criterion Edition, please. |Yes - I'll enter titles now|Concourse in Sakai|none||
8/17/2012 15:42:01|sohmer|FTT 40501|Wag the Dog|D04596_Wag_The_Dog.mov||6|6|Completed|11/8/2012|English|No|Yes|No||DVD  D 04596  WIDESCREEN VERSION ONLY|Yes - I'll enter titles now|Concourse in Sakai|none||
8/18/2012 15:04:50|cperry|ROFR 30720 - 01|1)        Dangerous Liaisons|D03163_Dangerous_Liasons.mov||2|2|Completed|8/29/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/18/2012 15:07:30|cperry|ROFR 30720 - 01|The Hedgehog|D10074_Hedgehog_(FrenchWithEngSubs).mov||5|5||10/31/2012|French|Yes|Yes|No||DVD (D 10074) Please use this version which has English subtitles. My students need the video with subtitles (there is another version of this movie without subtitles, and it won't work for my students). Thank you. |Yes - I'll enter titles now|Concourse|English||
8/18/2012 15:09:46|cperry|ROFR 40851 - 01|Muslims|D03911_Muslims.mov||1|1|Completed|8/23/2012|English|Yes|Yes|No||DVD (D 03911) Re: subtitles, I want them if they are already included in the film for languages other than English.|Yes - I'll enter titles now|Concourse|English||
8/18/2012 15:10:51|cperry|ROFR 40851 - 01|Islam, empire of faith|D03922_Islam_Emprie_Of_Faith.mov||1|1|Completed|8/23/2012|English|Yes|Yes|No||DVD (D 03922)|Yes - I'll enter titles now|Concourse|English||
8/18/2012 15:11:25|cperry|ROFR 40851 - 01|Le Grand Voyage|D03038_Le_Grand_Voyage.mov||5|5||10/15/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
7/17/2012 16:30:52|kibsen|ROSP 37825-01|Maria Calendaria|D01302_Maria_Caldendaria_SpanishAudio.mov||2|2|Completed|9/11/2012|Spanish|Yes|Yes|No||S735-106 VC The library seems to own another copy but this is the only one I see listed with English subtitles.|Yes - I'll enter titles now|Concourse - PR|||
8/18/2012 18:13:34|cperry|ROFR 30720 - 01|Camille|D06619_Camille.mov||3|3||9/30/2012|English|No|Yes|No||Please copy the DVD: Warner Home Video, 2005. Hesburgh Library Audio Center DVD (D 06619)|Yes - I'll enter titles now|Concourse|English||
8/18/2012 19:44:18|cjerezfa|ROSP 30720 - 02|Women on the verge of a nervous breakdown|D00180_Women_On_The_Nervous_Breakdown_(SpanishWithEngSubs).mov||7|7||11/20/2012|Spanish with English subtitles|Yes|Yes|Not sure||D 00180 |Yes - I'll enter titles now|Concourse|English||
8/18/2012 19:48:03|cjerezfa|ROSP 40422|Viridiana (by L. Bunuel)|D01411_Viridiana_(SpanishWithEngSubs).mov||3|3||9/25/2012|English|Yes|Yes|No||Viridiana by Luis Buñuel. D 01411|Yes - I'll enter titles now|Concourse|English||
8/18/2012 19:48:03|cjerezfa|ROSP 40422|Jamon, Jamon (by Bigas Luna),|D04712_Jamon_Jamon_(SpanishWithEngSubs).mov||3|3||9/25/2012|English|Yes|Yes|No||Hable con ella, (Talk to her) by Pedro Almodóvar.    D 00180 |||||
8/18/2012 19:48:03|cjerezfa|ROSP 40422|Talk to her (by Almodovar). |D00172_Talk_To_Her_(SpanishWithEnglSubs).mov||3|3||9/25/2012|English|Yes|Yes|No||Jamón, jamón, by Bigas Luna.   D 04712|||||
8/19/2012 11:02:55|rschafe2|EE 41430-01|Genius of Design|GeniusOfDesign1.mov GeniusOfDesign2.mov GeniusOfDesign3.mov GeniusOfDesign4.mov GeniusOfDesign5.mov||1|1|Completed|8/23/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/19/2012 11:39:46|mmorenoa|ROSP 40875-01|Chicano! Part 2: The Struggle in the Fields|M611-4VCEP2_Chicano_Part2_TheStruggleInTheFields.mov||1|1||8/28/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/19/2012 11:42:31|mmorenoa|ROSP 40875-01|Precious Knowledge|D10015_Precious_Knowledge.mov||2|2||9/4/2012|English|No|Yes|No||D 10015|Yes - I'll enter titles now|Concourse|English||
8/19/2012 11:46:53|mmorenoa|ROSP 40875-01|De nadie (Border Crossing)|DeNadie.mov||4|4||10/13/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/19/2012 11:50:21|mmorenoa|ROSP 40875-01|Chicago's Puerto Rican Story|D03137_ChicagosPuertoRicanStory.mov||3|3||9/17/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/19/2012 11:51:29|mmorenoa|ROSP 40875-01|My American Girls|D04915_MyAmericanGirls.mov||5|5||10/20/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/19/2012 11:52:22|mmorenoa|ROSP 40875-01|Voces nocentes (Innocent Voices)|D04828_VocesInocentes_InnocentVoices(SpanishWithEnglishSubtitles).mov||7|7||11/15/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/19/2012 11:58:27|mmorenoa|ROSP 30820-02|Calle 13-Sin mapa|D09986_CALLE13_Sin_Mapa.mov||7|7||11/15/2012|Spanish|Yes|Yes|No||D 09986|Yes - I'll enter titles now|Concourse|English if available, if not, Spanish||
8/19/2012 13:04:39|cperry|ROFR 30720 - 01|Chéri|D03162_Cheri.mov||4|4||10/1/2012|English|No|Yes|No||Hesburgh Library Audio Center DVD (D 03162 )|Yes - I'll enter titles now|Concourse|English||
8/20/2012 7:20:30|rschafe2|EE 41430-01|The Deep Dive|DeepDive.mov||1|1|Completed|8/27/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
7/17/2012 16:34:15|kibsen|ROSP 37825-01|Garage Olimpo|D00905_Garage_Olimpo_Desaparecidos_(SpanishNoSubs).mov|D00905|5|5||10/23/2012|Spanish|Yes|Yes|No|| D 00905|Yes - I'll enter titles now|Concourse -Pr|Spanish if possible||
7/17/2012 16:38:33|kibsen|ROSP 37825-01|The Night of the Pencils (La noche de los lapices)|V03500_La_Noche_De_Los_Lapices_The_Night_of_The_Pencils_(SpanishWithEnglishSubs).mov|V03500|5|5||10/23/2012|Spanish|Yes|Yes|No|| V 03500 I don't think this has subtitles.|Yes - I'll enter titles now|Concourse -Pr|||
7/17/2012 16:40:32|kibsen|LLRO13186 - 01 |Romero|Romero.mov|D06251|5|5||10/30/2012|English|No|Yes|No||D 06251|Yes - I'll enter titles now|Concourse -Pr|||
7/17/2012 16:44:19|kibsen|ROSP 37825-01|Strawberry and chocolate (Fresa y chocolate)|D03481_StrawberryAndChocolate(SpanishWithEnglishSubtitles).mov|D03481|4|4||10/9/2012|Spanish|Yes|Yes|No|| D 03481|Yes - I'll enter titles now|Concourse -Pr|||
